stock_code,time,开盘,成交量,成交额,振幅,换手率,收盘,最低,最高,涨跌幅,涨跌额,收盘_index,成交量_index,feat_rsi_14,feat_mfi_14,feat_macd_hist,feat_bias_5,feat_idx_bias_5,feat_bias_20,feat_idx_bias_20,feat_bias_60,feat_idx_bias_60,feat_atr_norm,feat_bb_pos,feat_obv_trend,feat_vol_ratio,diff_days,feat_log_time_gap,feat_log_ret,feat_log_ret_index,feat_excess_ret,feat_vol_20,label_1d,label_5d,label_vol
000032,2011-01-05,22.71,25849.0,25237294.0,1.62,1.11,22.79,22.46,22.83,-0.09,-0.02,2838.59,115080018.0,0.4246325406975384,0.318005193106179,-0.007011760708729966,0.015144766146993227,0.014953689401480563,-0.039207419898819706,-0.0044319523545391926,-0.05232517846004592,-0.028414730707532976,0.033170630953401704,0.2596428957115714,-0.10109367522977963,0.6409070735570006,1.0,0.6931471805599453,-0.0008771930387037858,-0.004940936809453983,0.004063743770750197,0.01951482183090812,0.004378290706882485,-0.0246991944461695,0.02142651992606207
000032,2011-01-06,22.68,25750.0,25401584.0,1.62,1.11,22.89,22.64,23.01,0.44,0.1,2824.2,93262308.0,0.4343339225809906,0.25253896124213965,-0.004960954208117197,0.009971761383692268,0.003264642043900423,-0.03285095595225518,-0.008905706196795982,-0.04747373166418123,-0.03343527252810763,0.031821328192486814,0.3021272306188736,0.006430543135958861,0.6674183222527202,1.0,0.6931471805599453,0.004378290706882485,-0.00508231136041727,0.009460602067299755,0.01797210548549481,0.0008733625009287664,-0.036843462417285346,0.02232719619772373
000032,2011-01-07,22.83,24867.0,24765522.0,2.23,1.07,22.91,22.77,23.28,0.09,0.02,2838.8,130892453.0,0.43638078557173926,0.3336970456010168,-0.0032254391369340545,0.0041199158485274445,0.002236921634308553,-0.0294634724958166,-0.0031339056850476776,-0.0461254484514978,-0.028424049710500054,0.031112653957218635,0.3241950338358887,-0.009617245988424412,0.6549419580832262,1.0,0.6931471805599453,0.0008733625009287664,0.0051562890156764745,-0.004282926514747708,0.01780460811716837,-0.043262041618319945,-0.053708393372890795,0.025725650109835786
000032,2011-01-10,22.85,23474.0,22693988.0,3.97,1.01,21.94,21.94,22.85,-4.23,-0.97,2791.81,102350530.0,0.36701586433051536,0.23187421205629766,-0.004715041078434352,-0.032115757896594266,-0.013219237879125267,-0.0663631141088108,-0.01865715252360589,-0.08507089241034205,-0.04412710459565794,0.033325568850366014,0.12747117314192408,0.005773358564751275,0.6278611023809915,3.0,1.3862943611198906,-0.043262041618319945,-0.016691296660109597,-0.026570744958210348,0.019992444808035116,-0.015155284328289621,-0.023986389827481587,0.023221487218991498
000032,2011-01-11,21.86,18814.0,17494820.0,2.69,0.81,21.61,21.39,21.98,-1.5,-0.33,2804.05,91000762.0,0.3468181166610529,0.24441680428963752,-0.006189507871209594,-0.036472266809345566,-0.005476167675714461,-0.07617989056087549,-0.01423515380768603,-0.0980299404530024,-0.03952201658416299,0.03336788109837177,0.10293676072114527,0.04749992687604658,0.524096779899542,1.0,0.6931471805599453,-0.015155284328289621,0.004374669673824311,-0.019529954002113933,0.020055334534325023,0.009670809886130243,-0.017458315797369513,0.02550100962558487
000032,2011-01-12,21.76,12754.0,11892207.0,1.71,0.55,21.82,21.51,21.88,0.97,0.21,2821.3,88306879.0,0.37055722467386837,0.29911167623414053,-0.005874427900547159,-0.018620131330394973,0.0018707173782115394,-0.06275503629569168,-0.007826645198238502,-0.08883382979315713,-0.03278585021202329,0.03189746902240925,0.18553789704955895,0.0165524342576425,0.36682840403460426,1.0,0.6931471805599453,0.009670809886130243,0.0061329709508320665,0.0035378389352981763,0.01997205660415558,0.009578180409327067,-0.03450225673176312,0.026937948012457618
000032,2011-01-13,21.98,12789.0,12113620.0,1.15,0.55,22.03,21.88,22.13,0.96,0.21,2827.71,82491775.0,0.3942653580018376,0.35796595896710953,-0.004544458491790543,-0.0014504578007433766,0.0038967115815693454,-0.04815398906867718,-0.003904299484974949,-0.07987247135478304,-0.02988149079873914,0.030341858708568207,0.2555681000668,-0.0478929698238273,0.391939331996,1.0,0.6931471805599453,0.009578180409327067,0.0022694251740085552,0.007308755235318512,0.01861898842752754,-0.04029255382415323,-0.061305743422969426,0.02812478231868927
000032,2011-01-14,21.92,20493.0,18803876.0,4.04,0.88,21.16,21.16,22.05,-3.95,-0.87,2791.34,84545719.0,0.3375429353188632,0.3805872915869242,-0.006054747204010178,-0.025423728813559254,-0.0056646345416604404,-0.07753340453822166,-0.014359606872371145,-0.11501463822668334,-0.0412050697620685,0.03233731067899962,0.09840935952373375,-0.1980047633135573,0.6774086384226268,1.0,0.6931471805599453,-0.04029255382415323,-0.012945429536379546,-0.02734712428777368,0.01902648589184112,-0.03266380681879157,-0.02798725893488977,0.026742292256155743
000032,2011-01-17,21.22,20277.0,17882704.0,3.5,0.87,20.48,20.48,21.22,-3.21,-0.68,2706.66,108833417.0,0.30108218851165164,0.39572855181253397,-0.00866115503885603,-0.043884220354808656,-0.02994467803880152,-0.0987700499460934,-0.04079320454650959,-0.14204922325013092,-0.06870673152933815,0.03360542487994983,0.010922036848700538,-0.12940665665530737,0.7275995887805602,3.0,1.3862943611198906,-0.03266380681879157,-0.030806364822610535,-0.0018574419961810383,0.019594150068893076,0.010201691586144626,0.002243575052215769,0.02296654302500573
000032,2011-01-18,20.48,8542.0,7523178.5,1.71,0.37,20.69,20.44,20.79,1.03,0.21,2708.98,69954664.0,0.325319786409087,0.4247333859975017,-0.00870865845709068,-0.025711056696176238,-0.022451661700102266,-0.08115909847896063,-0.03674238019906051,-0.131845614820306,-0.06643865255098924,0.032096624732575574,0.09278600722192536,-0.21939190602747155,0.3309339139462064,1.0,0.6931471805599453,0.010201691586144626,0.0008567778293683039,0.009344913756776322,0.019905164910827656,0.01677489611205737,-0.010787800814606497,0.02272730593826143
